City,AGE,Gender,Nationality,Subject_Area,Years_Higher_Education,Duration_Abroad,ECTS_Anticipated,Special_Needs,Language_Taught,Study_Grant,Placement_Grant
 LAS-PAL,19,F,ES,729,1,0,0,0,IT,0,600
 MADRID0,19,F,ES,34,1,9,60,0,EN,1170,0
 MADRID0,19,M,ES,34,1,9,60,0,EN,1170,0
 MADRID0,19,F,ES,34,1,6,30,0,FR,780,0
 MADRID0,19,M,ES,34,1,9,60,0,EN,1170,0
 GRANADA,19,M,ES,223,1,10,54,0,DE,1300,0
 GRANADA,19,F,ES,223,1,9,60,0,FR,1170,0
 GRANADA,19,M,ES,223,1,9,36,0,DE,1170,0
 GRANADA,19,F,ES,223,1,10,48,0,DE,1300,0
 GRANADA,19,F,ES,223,1,9,36,0,FR,1170,0
 GRANADA,19,M,ES,223,1,10,60,0,DE,1300,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,DE,487.5,0
 BARCELO,19,M,ES,223,1,Mrz 75,16,0,DE,487.5,0
 BARCELO,19,M,ES,523,1,0,22,0,IT,0,975
 BARCELO,19,M,ES,523,1,0,22,0,IT,0,975
 BARCELO,19,F,ES,729,1,0,22,0,FR,0,975
 BARCELO,19,M,ES,522,1,0,22,0,EN,0,900
 BARCELO,19,M,ES,34,1,0,1,0,EN,0,600
 BILBAO0,19,F,ES,223,2,10,67,0,DE,1300,0
 BILBAO0,19,F,ES,222,2,Apr-75,30,0,EN,617.5,0
 CADIZ01,19,M,ES,1,2,10,60,0,DE,1300,0
 BILBAO0,19,M,ES,223,2,10,62,0,IT,1300,0
 BILBAO0,19,F,ES,223,2,10,54,0,IT,1300,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Apr-25,16,0,EN,552.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,DE,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BARCELO,19,F,unknown,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,M,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,unknown,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BILBAO0,19,M,ES,222,2,10,90,0,EN,1300,0
 BILBAO0,19,M,ES,223,2,10,59,0,DE,1300,0
 BILBAO0,19,F,ES,222,1,Mai 25,32,0,EN,682.5,0
 BILBAO0,19,F,ES,222,1,Mai 75,30,0,EN,747.5,0
 BILBAO0,19,F,ES,222,2,5,38,0,EN,650,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,M,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,FR,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,213,2,0,22,0,EN,0,750
 BILBAO0,19,F,ES,223,2,10,59,0,DE,1300,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,DE,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,813,1,0,12,0,IT,0,900
 BARCELO,19,M,ES,813,2,0,12,0,IT,0,900
 BILBAO0,19,M,ES,223,2,9,60,0,DE,1170,0
 BILBAO0,19,M,ES,223,2,10,70,0,DE,1300,0
 BILBAO0,19,F,ES,223,2,10,90,0,EN,1300,0
 BARCELO,19,M,ES,223,1,03. Mai,16,0,FR,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,EN,487.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,FR,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,223,1,Mrz 75,16,0,DE,487.5,0
